Latitude,Longitude
-90.753873,40.295241
-90.753814,40.295237
-90.7512,40.295191
-90.75068,40.295146
-90.750385,40.295128
-90.749364,40.295107
-90.749201,40.295113
-90.749069,40.295123
-90.748819,40.295167
-90.748259,40.295307
-90.746859,40.295648
-90.745777,40.295896
-90.745439,40.295953
-90.745148,40.295993
-90.744841,40.296043
-90.744235,40.296161
-90.743409,40.296291
-90.696143,40.293689
-90.686655,40.293409
-90.679427,40.293326
-90.678606,40.293236
-90.677776,40.293273
-98.195941,32.69095
-98.195973,32.690924
-98.1963,32.690483
-98.196369,32.690303
-98.196369,32.690103
-98.196346,32.69003
-98.196169,32.689743
-98.196119,32.689628
-98.196065,32.689317
-98.196035,32.689267
-98.195942,32.689169
-98.195684,32.688934
-98.195553,32.688757
-98.195515,32.688657
-98.195468,32.688372
-98.195388,32.687978
-98.19528,32.687624
-98.19511,32.687132
-98.195041,32.686782
-98.194988,32.68661
-98.473796,32.5471
-98.473789,32.547438
-98.473771,32.547635
-97.209399,31.43765
-97.208293,31.438164
-97.20791,31.438344
-97.207774,31.438379
-97.207647,31.438391
-97.178119,31.521721
-97.178523,31.522052
-97.178629,31.522139
-97.178914,31.522372
-97.180264,31.523477
-97.181269,31.52431
-97.181319,31.524341
-97.181366,31.52437
-97.181429,31.524421
-97.181504,31.524497
-97.181572,31.524593
-97.181612,31.524673
-97.181644,31.524768
-97.181652,31.524803
-97.18168,31.525296
-97.181668,31.525379
-97.181641,31.525455
-97.181593,31.525534
-97.181523,31.525609
-97.181458,31.525657
-97.181295,31.525763
-97.181233,31.525804
-97.180969,31.525967
-97.180558,31.52624
-97.217083,31.506766
-97.217383,31.505766
-97.217649,31.505043
-97.218174,31.504467
-97.219579,31.503606
-97.222784,31.501966
-97.223333,31.501691
-98.102378,32.992444
-98.102364,32.99263
-98.102371,32.992772
-98.102396,32.992885
-98.102469,32.993004
-98.102513,32.99306
-97.093549,31.813149
-97.092281,31.812896
-97.091743,31.812784
-97.091131,31.812648
-90.691635,40.473477
-90.691277,40.473654
-97.109313,31.590726
-97.109193,31.592582
-97.109166,31.592994
-98.484006,32.547052
-98.483969,32.547196
-98.483981,32.547485
-98.483974,32.547573
-98.483943,32.547646
-98.483902,32.547674
-98.48384,32.547677
-98.48381,32.54766
-98.48379,32.547617
-98.483794,32.547507
-98.483812,32.547423
-98.483842,32.547342
-98.483969,32.547196
-90.518176,40.552891
-90.517806,40.5534
-90.517798,40.553411
-90.517431,40.553901
-90.517057,40.554398
-90.51668,40.554899
-90.515921,40.555905
-97.089515,31.807196
-97.089405,31.807476
-97.088868,31.80848
-97.088747,31.80879
-97.088506,31.809785
-97.088263,31.810789
-97.088143,31.811285
-97.087983,31.812026
-97.087969,31.812099
-97.087935,31.812283
-97.08788,31.812575
-97.087526,31.814041
-97.087464,31.814438
-97.087158,31.818039
-97.087152,31.818416
-97.087231,31.818991
-97.087275,31.819472
-97.087217,31.819763
-97.086624,31.821863
-97.086458,31.822486
-97.086453,31.822637
-97.086482,31.822748
-97.086574,31.822928
-97.086653,31.823114
-97.086698,31.823248
-97.086686,31.823397
-97.086318,31.824746
-97.086208,31.82528
-97.085363,31.829983
-97.085363,31.830254
-97.085417,31.830462
-97.086179,31.832511
-97.08622,31.832764
-97.086039,31.837859
-97.085871,31.838953
-97.085679,31.839762
13.371691,49.758291
13.37182,49.758364
28.510535,54.940779
28.510144,54.940746
28.509463,54.940518
28.508658,54.940268
28.508175,54.940302
28.507558,54.94029
28.506668,54.940567
28.505659,54.941072
28.50479,54.941232
28.503149,54.941436
28.502816,54.941756
28.503052,54.942225
28.50376,54.942607
28.505176,54.943075
28.505917,54.943334
28.50611,54.94363
28.50655,54.943963
28.507075,54.944197
28.50758,54.944265
28.508159,54.944308
28.508663,54.944277
28.509157,54.944178
28.509554,54.944098
28.510358,54.944166
28.51141,54.944721
